date,open,close,low,high,volume
2010-08-10,112.03,88.09060508073,111.37,112.98,242692534.0
2010-08-11,110.65,85.676304816905,109.12,110.69,272943363.0
2010-08-12,107.65,85.1511161231509,107.6,109.02,239364581.0
2010-08-13,108.29,84.9002797321041,108.18,108.96,158383281.0
2010-08-16,107.57,84.8610865460031,107.18,108.61,147556208.0
2010-08-17,109.19,85.9036252962911,108.88,110.39,172118257.0
2010-08-18,109.54,86.0603980406953,108.91,110.38,182533533.0
2010-08-19,109.22,84.5632183316351,107.43,109.49,265766788.0
2010-08-20,107.56,84.2888660289277,106.75,107.94,209556423.0
2010-08-23,108.04,83.967481902899,107.07,108.57,163097648.0
2010-08-24,105.95,82.7211385848855,104.97,106.39,280534115.0
2010-08-25,104.95,83.0425227109141,104.29,106.34,272169169.0
2010-08-26,106.44,82.4859794682792,104.88,106.58,224219048.0
2010-08-27,105.89,83.7636773351735,104.31,106.97,272308220.0
2010-08-30,106.58,82.5486885660409,105.3,106.91,166871252.0
2010-08-31,104.92,82.5486885660409,104.49,105.98,273616262.0
2010-09-01,106.73,85.0178592904073,106.66,108.61,267563260.0
2010-09-02,108.72,85.8095616496486,108.49,109.49,155921532.0
2010-09-03,110.54,86.9226481349185,109.95,110.99,212125752.0
2010-09-07,110.37,85.9428184823922,109.55,110.51,141821257.0
2010-09-08,109.86,86.5463935483484,109.81,110.85,149907549.0
2010-09-09,111.65,86.9461640465792,110.62,111.68,146442924.0
2010-09-10,111.12,87.385127730911,110.87,111.61,127752166.0
2010-09-13,112.58,88.3571187462171,112.13,112.95,177874202.0
2010-09-14,112.5,88.3022482856757,112.08,113.29,209339106.0
2010-09-15,112.32,88.6393096861447,111.98,113.21,168413600.0
2010-09-16,112.73,88.6157937744841,112.35,113.12,199774257.0
2010-09-17,113.04,88.6488179530928,112.18,113.15,195746043.0
2010-09-20,112.88,90.0042803664569,112.52,114.46,214541807.0
2010-09-21,114.3,89.8230266716466,113.51,114.84,268363571.0
2010-09-22,113.8,89.3817133277606,113.1,114.44,191154384.0
2010-09-23,112.49,88.6566985485194,112.18,113.67,202119199.0
2010-09-24,113.75,90.4849966874755,113.65,114.9,209597808.0
2010-09-27,114.86,90.0515639390161,114.16,114.99,128567256.0
2010-09-28,114.42,90.3667877560775,113.18,115.04,209089087.0
2010-09-29,114.38,90.2091758475468,114.02,114.91,179576563.0
2010-09-30,115.05,89.9412356030446,113.59,115.79,286947461.0
2010-10-01,114.99,90.3195041835183,113.93,115.12,174556419.0
2010-10-04,114.37,89.6417729768363,113.18,114.85,165979593.0
2010-10-05,114.8,91.4464293295128,114.67,116.32,229309351.0
2010-10-06,116.02,91.4385487340862,115.56,116.33,148514950.0
2010-10-07,116.5,91.3282203981148,115.19,116.53,164724633.0
2010-10-08,116.05,91.8404591008395,115.61,116.86,177626639.0
2010-10-11,116.72,91.9271456505314,116.25,116.97,102920611.0
2010-10-12,116.27,92.2108470858867,115.65,117.35,181748883.0
2010-10-13,117.66,92.9279812697014,117.38,118.55,193888150.0
2010-10-14,117.81,92.5654738800807,116.72,118.01,217324777.0
2010-10-15,118.28,92.7546081703176,116.76,118.35,243526366.0
2010-10-18,117.74,93.2116827050566,117.31,118.67,141416390.0
2010-10-19,117.19,91.9901904139437,116.02,117.85,280331815.0
2010-10-20,116.94,92.8885782925687,116.87,118.44,199776327.0
2010-10-21,118.4,93.0934737736586,117.21,119.09,221423812.0
2010-10-22,118.31,93.2668468730424,118.0,118.53,108136870.0
2010-10-25,119.14,93.5426677129711,118.61,119.76,150911529.0
2010-10-26,118.1,93.5584289038242,117.87,118.84,158887883.0
2010-10-27,117.89,93.290488659322,117.26,118.51,189872039.0
2010-10-28,119.06,93.306249850175,117.83,119.11,168414804.0
2010-10-29,118.28,93.3771752090139,118.07,118.72,144175222.0
2010-11-01,119.07,93.40869759072,117.85,119.75,173851149.0
2010-11-02,119.42,94.1494735608143,119.1,119.75,157916916.0
2010-11-03,119.68,94.527742141288,118.45,120.02,226512548.0
2010-11-04,121.28,96.3481596848176,119.97,122.32,214571865.0
2010-11-05,122.34,96.7106670744382,122.18,122.92,180591242.0
2010-11-08,122.34,96.5294133796279,121.94,122.69,155551735.0
2010-11-09,122.82,95.8359209820928,121.12,122.95,186006607.0
2010-11-10,121.58,96.222070157993,120.66,122.16,220587229.0
2010-11-11,121.05,95.8595627683724,120.68,121.82,157659616.0
2010-11-12,120.82,94.7247570269514,119.65,121.35,238930528.0
2010-11-15,120.58,94.5907869047003,119.98,121.05,163635229.0
2010-11-16,119.29,93.1171155599382,117.59,119.49,299705738.0
2010-11-17,118.21,93.1643991324974,117.86,118.71,172013797.0
2010-11-18,119.36,94.5356227367145,119.35,120.39,197429267.0
2010-11-19,119.9,94.7956823857902,119.25,120.34,156802316.0
2010-11-22,119.69,94.7168764315248,118.77,120.24,181349749.0
2010-11-23,118.77,93.3456528273077,117.99,119.02,221848973.0
2010-11-24,119.2,94.7247570269514,119.18,120.23,140040883.0
2010-11-26,119.16,93.6214736672364,118.8,119.81,76007704.0
2010-11-29,118.5,93.9051751025917,117.74,119.48,223441824.0
2010-11-30,117.98,93.3771752090139,117.81,119.17,233594243.0
2010-12-01,120.2,95.3630852565007,120.19,121.24,220813253.0
2010-12-02,121.2,96.5845775476136,121.13,122.65,191000993.0
2010-12-03,122.14,96.8446371966893,122.11,123.03,151218294.0
2010-12-06,122.63,96.7421894561443,122.5,123.04,102219003.0
2010-12-07,123.94,96.7973536241301,122.76,124.01,206338935.0
2010-12-08,122.98,97.1519804183242,122.41,123.38,137753048.0
2010-12-09,123.97,97.5302489987978,123.15,124.02,123129634.0
2010-12-10,124.14,98.0976518695084,123.73,124.6,117451490.0
2010-12-13,125.05,98.1606966329206,124.52,125.2,133626673.0
2010-12-14,124.75,98.2473831826125,124.29,125.23,147004202.0
2010-12-15,124.44,97.7981892433,123.89,124.93,160353340.0
2010-12-16,124.18,98.3655921140105,123.75,124.91,185035200.0
2010-12-17,124.08,98.4702148988932,123.82,124.46,140935518.0
2010-12-20,124.64,98.7078743073378,123.98,124.9,118947468.0
2010-12-21,124.99,99.3337107495754,124.87,125.47,94848761.0
2010-12-22,125.48,99.6426679805534,125.41,125.82,78820816.0
2010-12-23,125.64,99.5000723354866,125.29,125.78,70052157.0
2010-12-27,125.13,99.5396822368941,125.04,125.77,58062305.0
2010-12-28,125.9,99.6822778819609,125.5,125.95,55258057.0
2010-12-29,125.98,99.7535757044942,125.9,126.2,57970747.0
2010-12-30,125.8,99.5951360988645,125.53,126.13,76592513.0
2010-12-31,125.53,99.618902039709,125.33,125.87,91206861.0
2011-01-03,126.71,100.648759476302,125.7,127.6,138503753.0
2011-01-04,127.33,100.593305614332,126.19,127.37,137310521.0
2011-01-05,126.58,101.11615631291,126.46,127.72,133860404.0
2011-01-06,127.69,100.918106805873,127.01,127.83,122398841.0
